pair,scenario,condition,correct,final_choice,n_turns
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,needle,asym_coop,1,drawer,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,net,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,net,asym_coop,1,shed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,net,asym_coop,1,shed,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,net,asym_coop,0,yard,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,net,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,notebook,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,notebook,asym_coop,1,desk,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,notebook,asym_coop,1,desk,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,notebook,asym_coop,1,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,notebook,asym_coop,0,,6
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,pail,asym_coop,0,porch,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,pail,asym_coop,1,shed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,pail,asym_coop,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,pail,asym_coop,1,shed,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,pail,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,paint,asym_coop,0,bench,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,paint,asym_coop,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,paint,asym_coop,1,shelf,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,paint,asym_coop,1,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,paint,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,pan,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,pan,asym_coop,0,stove,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,pan,asym_coop,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,pan,asym_coop,1,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,pan,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,patch,asym_coop,0,table,6
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,patch,asym_coop,1,drawer,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,patch,asym_coop,1,drawer,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,patch,asym_coop,1,drawer,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,patch,asym_coop,1,drawer,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,pen,asym_coop,0,cup,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,pen,asym_coop,1,tray,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,pen,asym_coop,1,tray,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,pen,asym_coop,1,tray,2
Qwen3-8B × Qwen3-8B,pen,asym_coop,1,tray,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,pen,asym_coop,0,,8
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,phone,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,phone,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,phone,asym_coop,1,table,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,phone,asym_coop,1,table,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,phone,asym_coop,1,table,2
Qwen3-8B × Qwen3-8B,phone,asym_coop,1,table,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,phone,asym_coop,0,,4
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,photo,asym_coop,0,shelf,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,photo,asym_coop,1,drawer,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,photo,asym_coop,1,drawer,6
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,photo,asym_coop,1,drawer,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,photo,asym_coop,0,shelf,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,pillow,asym_coop,1,bed,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,pillow,asym_coop,1,bed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,pillow,asym_coop,1,bed,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,pillow,asym_coop,1,bed,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,pillow,asym_coop,0,couch,2
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,pkg,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,pkg,asym_coop,1,back porch,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,pkg,asym_coop,1,back porch,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,pkg,asym_coop,1,back porch,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,pkg,asym_coop,1,back porch,2
Qwen3-8B × Qwen3-8B,pkg,asym_coop,1,back porch,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,pkg,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,plate,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,plate,asym_coop,0,table,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,plate,asym_coop,1,sink,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,plate,asym_coop,1,sink,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,plate,asym_coop,1,sink,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,plug,asym_coop,0,desk,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,plug,asym_coop,1,floor,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,plug,asym_coop,1,floor,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,plug,asym_coop,1,floor,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,plug,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,rake,asym_coop,0,fence,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,rake,asym_coop,1,shed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,rake,asym_coop,1,shed,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,rake,asym_coop,1,shed,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,rake,asym_coop,1,shed,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,receipt,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,receipt,asym_coop,1,pocket,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,receipt,asym_coop,1,pocket,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,receipt,asym_coop,1,pocket,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,receipt,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,remote,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,remote,asym_coop,1,table,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,remote,asym_coop,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,remote,asym_coop,1,table,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,remote,asym_coop,0,,4
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,ring,asym_coop,0,pouch,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,ring,asym_coop,1,box,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,ring,asym_coop,1,box,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,ring,asym_coop,1,box,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,ring,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,rope,asym_coop,0,,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,rope,asym_coop,1,shed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,rope,asym_coop,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,rope,asym_coop,1,shed,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,rope,asym_coop,1,shed,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,scale,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,scale,asym_coop,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,scale,asym_coop,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,scale,asym_coop,1,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,scale,asym_coop,0,counter,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,scarf,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,scarf,asym_coop,0,bench,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,scarf,asym_coop,1,closet,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,scarf,asym_coop,1,closet,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,scarf,asym_coop,1,closet,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,scissors,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,scissors,asym_coop,1,desk,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,scissors,asym_coop,1,desk,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,scissors,asym_coop,1,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,scissors,asym_coop,1,desk,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,seed,asym_coop,1,bag,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,seed,asym_coop,1,bag,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,seed,asym_coop,0,pot,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,seed,asym_coop,1,bag,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,seed,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,shovel,asym_coop,0,shed,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,shovel,asym_coop,0,shed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,shovel,asym_coop,1,yard,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,shovel,asym_coop,1,yard,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,shovel,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,soap,asym_coop,0,shelf,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,soap,asym_coop,1,ledge,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,soap,asym_coop,1,ledge,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,soap,asym_coop,1,ledge,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,soap,asym_coop,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,sponge,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,sponge,asym_coop,1,counter,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,sponge,asym_coop,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,sponge,asym_coop,1,counter,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,sponge,asym_coop,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,spoon,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,spoon,asym_coop,0,cup,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,spoon,asym_coop,1,bowl,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,spoon,asym_coop,1,bowl,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,spoon,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,stamp,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,stamp,asym_coop,1,drawer,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,stamp,asym_coop,0,,3
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,stamp,asym_coop,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,stamp,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,stapler,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,stapler,asym_coop,1,desk,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,stapler,asym_coop,1,desk,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,stapler,asym_coop,1,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,stapler,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,stone,asym_coop,0,ledge,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,stone,asym_coop,1,pot,6
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,stone,asym_coop,1,pot,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,stone,asym_coop,1,pot,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,stone,asym_coop,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,strap,asym_coop,1,drawer,4
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,strap,asym_coop,1,drawer,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,strap,asym_coop,0,hook,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,strap,asym_coop,1,drawer,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,strap,asym_coop,0,hook,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,tape,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,tape,asym_coop,1,shelf,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,tape,asym_coop,1,shelf,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,tape,asym_coop,1,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,tape,asym_coop,1,shelf,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,ticket,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,ticket,asym_coop,1,pocket,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,ticket,asym_coop,1,pocket,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,ticket,asym_coop,1,pocket,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,ticket,asym_coop,0,,5
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,towel,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,towel,asym_coop,0,basket,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,towel,asym_coop,1,rack,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,towel,asym_coop,1,rack,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,towel,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,toy,asym_coop,1,bin,4
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,toy,asym_coop,1,bin,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,toy,asym_coop,1,bin,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,toy,asym_coop,1,bin,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,toy,asym_coop,0,,4
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,tray,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,tray,asym_coop,1,oven,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,tray,asym_coop,1,oven,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,tray,asym_coop,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,tray,asym_coop,0,counter,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,umbrella,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,umbrella,asym_coop,1,hook,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,umbrella,asym_coop,1,hook,6
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,umbrella,asym_coop,0,stand,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,umbrella,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,vase,asym_coop,1,mantle,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,vase,asym_coop,1,mantle,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,vase,asym_coop,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,vase,asym_coop,1,mantle,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,vase,asym_coop,1,mantle,2
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,wallet,asym_coop,0,,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,wallet,asym_coop,0,desk,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,wallet,asym_coop,1,drawer,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,wallet,asym_coop,1,drawer,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,wallet,asym_coop,0,,2
Qwen3-8B × Qwen3-8B,wallet,asym_coop,1,drawer,2
Qwen_Qwen3-14B × Qwen_Qwen3-14B,wallet,asym_coop,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,wallet,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,watch,asym_coop,0,dresser,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,watch,asym_coop,1,nightstand,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,watch,asym_coop,1,nightstand,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,watch,asym_coop,0,dresser,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,watch,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,whisk,asym_coop,0,hook,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,whisk,asym_coop,1,drawer,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,whisk,asym_coop,0,,5
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,whisk,asym_coop,1,drawer,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,whisk,asym_coop,1,drawer,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,wire,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,wire,asym_coop,1,bench,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,wire,asym_coop,1,bench,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,wire,asym_coop,1,bench,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,wire,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,wrench,asym_coop,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,wrench,asym_coop,1,toolbox,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,wrench,asym_coop,0,,5
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,wrench,asym_coop,1,toolbox,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,wrench,asym_coop,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,apron,conflict_adv,1,drawer,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,apron,conflict_adv,0,,16
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,apron,conflict_adv,1,drawer,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,apron,conflict_adv,0,hook,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,apron,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,badge,conflict_adv,1,desk,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,badge,conflict_adv,1,desk,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,badge,conflict_adv,0,,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,badge,conflict_adv,1,desk,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,badge,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,ball,conflict_adv,1,garage,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,ball,conflict_adv,1,garage,6
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,ball,conflict_adv,1,garage,6
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,ball,conflict_adv,1,garage,4
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,ball,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,belt,conflict_adv,1,chair,12
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,belt,conflict_adv,1,chair,4
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,belt,conflict_adv,1,chair,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,belt,conflict_adv,0,closet,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,belt,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,binder,conflict_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,binder,conflict_adv,0,shelf,16
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,binder,conflict_adv,0,shelf,6
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,binder,conflict_adv,0,,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,binder,conflict_adv,1,desk,2
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,blanket,conflict_adv,1,bed,6
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,blanket,conflict_adv,1,bed,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,blanket,conflict_adv,1,bed,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,blanket,conflict_adv,1,bed,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,blanket,conflict_adv,0,,16
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,book,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,book,conflict_adv,1,shelf,10
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,book,conflict_adv,0,bag,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,book,conflict_adv,1,shelf,16
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,book,conflict_adv,0,bag,2
Qwen3-8B × Qwen3-8B,book,conflict_adv,1,shelf,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,book,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,bottle,conflict_adv,0,,16
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,bottle,conflict_adv,1,counter,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,bottle,conflict_adv,1,counter,4
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,bottle,conflict_adv,0,fridge,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,bottle,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,bowl,conflict_adv,1,table,8
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,bowl,conflict_adv,0,counter,2
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,bowl,conflict_adv,1,table,2
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,bowl,conflict_adv,0,counter,2
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,bowl,conflict_adv,0,,16
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,broom,conflict_adv,0,corner,14
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,broom,conflict_adv,1,closet,6
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,broom,conflict_adv,1,closet,8
